problem opt_cost calc_cost
att48.tsp 10628 11908
att48.tsp 10628 11086
att48.tsp 10628 11606
att48.tsp 10628 11442
att48.tsp 10628 11823
att48.tsp 10628 11758
att48.tsp 10628 12055
att48.tsp 10628 11757
att48.tsp 10628 11988
att48.tsp 10628 11589
att48.tsp 10628 11610
att48.tsp 10628 12168
att48.tsp 10628 11156
att48.tsp 10628 11410
att48.tsp 10628 11822
att48.tsp 10628 11444
att48.tsp 10628 11500
att48.tsp 10628 11566
att48.tsp 10628 11049
att48.tsp 10628 11493
att48.tsp 10628 11554
att48.tsp 10628 11727
gr48.tsp 5046 5402
gr48.tsp 5046 5441
gr48.tsp 5046 5326
gr48.tsp 5046 5361
gr48.tsp 5046 5311
gr48.tsp 5046 5589
gr48.tsp 5046 5744
gr48.tsp 5046 5721
gr48.tsp 5046 5375
gr48.tsp 5046 5542
gr48.tsp 5046 5454
gr48.tsp 5046 5355
gr48.tsp 5046 5563
gr48.tsp 5046 5781
gr48.tsp 5046 5170
gr48.tsp 5046 5354
gr48.tsp 5046 5877
gr48.tsp 5046 5381
gr48.tsp 5046 5228
gr48.tsp 5046 5387
gr48.tsp 5046 5414
gr48.tsp 5046 5305
gr48.tsp 5046 5261
gr48.tsp 5046 5261
gr48.tsp 5046 5394
gr48.tsp 5046 5363
gr48.tsp 5046 5562
